Product,Brand,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Laptop,HP,Prevent least study nearly candidate live vote yard on first exist while author.,57037,14-02-2024,05-03-2024,9,Elizabeth Walker,Benjaminstad,Central,Ryzen 3,Ryzen 3,4GB,64GB,2TB
Mobile Phone,Dell,When pattern degree brother oil really one collection front toward.,140787,14-10-2024,07-12-2024,10,Elizabeth Martinez,Lake Victoriaborough,West,Samsung Exynos,Samsung Exynos,8GB,64GB,N/A
Mobile Phone,Motorola,Interest back walk he everyone four current take.,91311,12-07-2024,27-08-2024,9,Heather Williams,New Willie,South,MediaTek Dimensity,MediaTek Dimensity,6GB,1TB,N/A
Laptop,Oppo,Often store ahead front air language I.,46989,21-07-2023,26-07-2023,1,Cassandra Gray,Port Bethanystad,North,i3,i3,32GB,128GB,512GB
Mobile Phone,Motorola,Day ok somebody song government loss according through reveal.,79796,16-08-2024,04-09-2024,4,Stefanie Cummings,North Matthew,Central,Snapdragon 8 Gen,Snapdragon 8 Gen,12GB,512GB,N/A
Laptop,Motorola,Beyond prove leader course career everything debate least.,43683,03-10-2023,30-11-2023,2,Larry Mcintyre,Port Edward,Central,Ryzen 7,Ryzen 7,12GB,512GB,512GB
Laptop,Google,Order city oil gun response trial.,16400,11-09-2024,02-10-2024,5,Robert Buchanan,Port Jaime,East,i9,i9,32GB,64GB,512GB
Laptop,iQOO,Write bad step speak his step area general over write.,98945,15-09-2024,22-09-2024,9,David Wilson,New Carolyn,East,Ryzen 7,Ryzen 7,32GB,128GB,1TB
Laptop,Sony,Mean weight pass quickly blood eye time specific political your quite himself.,59820,11-08-2023,22-09-2023,10,Jacob Craig,Townsendfurt,South,i3,i3,12GB,64GB,256GB
Mobile Phone,iQOO,Six example huge claim our political.,186946,08-01-2025,22-01-2025,1,Robin Clark,Jocelyntown,West,Snapdragon 7 Gen,Snapdragon 7 Gen,32GB,512GB,N/A
Laptop,OnePlus,Present plan none kitchen face nor western space ready indicate.,179263,14-12-2024,09-01-2025,1,David Kerr,Jamesville,North,i7,i7,6GB,256GB,256GB
Mobile Phone,Oppo,Member statement city during shake product.,56221,26-10-2023,30-11-2023,8,Stephanie Miller,Nicolebury,East,Snapdragon 7 Gen,Snapdragon 7 Gen,6GB,256GB,N/A
Laptop,Lenovo,Hotel skin rock improve treat actually check.,75700,10-02-2025,14-03-2025,7,John Tran,Pattonfurt,Central,i7,i7,4GB,128GB,1TB
Mobile Phone,Vivo,She director any out live past require.,49282,16-01-2024,28-01-2024,2,Mary Bailey,South Laurieville,West,Samsung Exynos,Samsung Exynos,4GB,128GB,N/A
Laptop,Samsung,Look general general exist how night skill impact face so window.,170771,06-09-2024,11-10-2024,8,Jason Townsend,Solisfort,West,i9,i9,8GB,256GB,1TB
Mobile Phone,Realme,Ground coach threat all they participant unit bank it.,115800,19-10-2023,09-12-2023,4,Stephanie Snyder,West Jimmytown,Central,Snapdragon 7s,Snapdragon 7s,6GB,256GB,N/A
Laptop,Redmi,Where society pressure team mission often surface agree network.,166260,17-02-2024,01-03-2024,8,Desiree Williams,Lindafort,North,Ryzen 9,Ryzen 9,16GB,256GB,512GB
Mobile Phone,Toshiba,Catch itself energy rest ask president nature man arm cause after explain admit.,49902,18-04-2023,23-05-2023,8,Teresa Powers,Robertburgh,West,Snapdragon 8 Gen,Snapdragon 8 Gen,6GB,256GB,N/A
Mobile Phone,Realme,Mission particularly scientist group face learn air.,64818,09-08-2024,04-10-2024,9,Brandon Lopez,Aguirreton,East,Samsung Exynos,Samsung Exynos,32GB,1TB,N/A
Mobile Phone,Apple,Worker pretty lead agent there performance hold.,66597,21-11-2024,22-11-2024,10,Blake Fitzpatrick,New Sarafort,Central,Samsung Exynos,Samsung Exynos,4GB,128GB,N/A
Laptop,iQOO,Nation between phone weight accept up.,122030,15-10-2023,08-12-2023,6,Calvin James,North Albertmouth,South,i7,i7,6GB,256GB,512GB
Laptop,Apple,Vote chance toward meeting manager hot music structure property hear plan usually.,150198,05-06-2023,27-07-2023,10,Michelle Ruiz,Longside,West,i3,i3,8GB,256GB,2TB
Mobile Phone,Motorola,Experience government use room over democratic natural protect image budget coach relate.,170391,24-04-2023,14-06-2023,2,Cole Roberson,West Amyshire,West,Snapdragon 7s,Snapdragon 7s,4GB,128GB,N/A
Laptop,Lenovo,Star outside rich rather item now owner seat turn when.,11333,22-04-2024,03-06-2024,7,Edward Smith,Delgadoburgh,West,Ryzen 7,Ryzen 7,16GB,128GB,1TB
Laptop,Asus,Could arrive then want base material hotel series.,108235,15-04-2024,25-05-2024,9,April Pena,Brandonfurt,Central,i7,i7,4GB,128GB,1TB
Laptop,Asus,Various from several interest writer mind condition TV your program into cup its.,134412,07-04-2024,19-04-2024,2,David Evans,East Thomasburgh,North,Ryzen 3,Ryzen 3,12GB,512GB,1TB
Laptop,HP,Politics could project fish trial explain citizen face consumer edge theory break positive.,20799,06-08-2024,30-09-2024,3,Christopher Mclaughlin,Stevenshire,East,i9,i9,16GB,512GB,256GB
Laptop,Asus,Doctor law government teacher college early offer return.,172640,03-04-2023,19-04-2023,10,Shawn Bryant,South Matthew,South,i9,i9,12GB,512GB,2TB
Mobile Phone,Samsung,Statement other turn generation stop ground explain practice send challenge ask husband.,79563,19-06-2023,03-07-2023,3,Caroline Patterson,Port Ericaland,Central,Apple A-Series,Apple A-Series,16GB,256GB,N/A
Laptop,Apple,Time level light any want material safe bring.,177532,16-06-2023,02-08-2023,7,Rachel Gillespie,Hooperfurt,Central,Ryzen 5,Ryzen 5,4GB,64GB,256GB
Mobile Phone,Acer,My reality let even still building.,149504,26-07-2024,10-09-2024,9,Jamie Olson,East Justin,West,MediaTek Dimensity,MediaTek Dimensity,12GB,1TB,N/A
Mobile Phone,HP,Worker who continue study remain certain chair impact thank analysis.,139545,25-06-2023,03-08-2023,6,Ebony Johnson,Santiagobury,West,Snapdragon 7 Gen,Snapdragon 7 Gen,6GB,1TB,N/A
Laptop,Realme,Doctor interest side population civil same.,146371,14-12-2024,28-01-2025,9,Jennifer Lawrence,West Douglas,North,i5,i5,32GB,64GB,512GB
Laptop,OnePlus,Describe yes itself already hour yeah.,142648,23-07-2023,25-08-2023,1,Diane Lawrence,South Barbara,East,Ryzen 5,Ryzen 5,12GB,128GB,2TB
Mobile Phone,Huawei,Year such teach point form drive behind pull day these phone item.,188903,29-01-2025,30-03-2025,4,Kenneth Freeman,Matthewsfort,East,Snapdragon 7s,Snapdragon 7s,16GB,64GB,N/A
Mobile Phone,Redmi,Respond far we first brother clear expect agreement inside rise while state sister.,65505,26-06-2024,22-08-2024,4,Nicholas Delgado MD,West Kellychester,South,MediaTek Helio,MediaTek Helio,6GB,1TB,N/A
Laptop,Realme,Only walk manage economic check rest with fight which.,108902,25-08-2024,22-09-2024,5,David Jones,Justinstad,West,i9,i9,6GB,512GB,2TB
Mobile Phone,Sony,Necessary remember bring certain move wife.,155702,27-08-2024,15-10-2024,7,Ellen Rodriguez,New Michellemouth,Central,Snapdragon 7 Gen,Snapdragon 7 Gen,16GB,512GB,N/A
Mobile Phone,OnePlus,City and listen give upon book.,58392,12-07-2024,04-09-2024,1,Shane Gonzalez,Daughertytown,South,Snapdragon 8 Gen,Snapdragon 8 Gen,4GB,1TB,N/A
Mobile Phone,Nokia,Result model think blood study may across.,115838,21-07-2024,29-08-2024,3,Kristin Lang MD,Lake Amandaton,South,Snapdragon 7 Gen,Snapdragon 7 Gen,12GB,128GB,N/A
Laptop,Apple,Learn right scientist like opportunity college actually floor.,8877,21-09-2024,05-11-2024,2,Carl Lewis,South Glennhaven,West,i3,i3,12GB,512GB,2TB
Mobile Phone,Lenovo,Force these black source ask nice activity serve.,155591,30-01-2025,16-03-2025,7,John Hill,Veronicaport,North,MediaTek Dimensity,MediaTek Dimensity,4GB,128GB,N/A
Mobile Phone,Redmi,Nothing seem while case physical reflect improve grow.,94364,29-02-2024,23-04-2024,8,Daniel Harris,Willisfurt,Central,Snapdragon 7s,Snapdragon 7s,32GB,128GB,N/A
Laptop,HP,Somebody future standard evidence involve nature difference.,143110,30-01-2024,12-02-2024,3,Samantha Wood,Adammouth,West,i7,i7,16GB,256GB,512GB
Laptop,Sony,Total between bring attention image tend because charge development day decade.,56929,13-11-2024,07-01-2025,2,Alice Gardner,Lake Monica,East,i9,i9,32GB,256GB,1TB
Mobile Phone,Huawei,Me price avoid financial challenge final size poor mean.,11439,26-07-2023,23-09-2023,8,Tiffany Krueger,New Normamouth,South,Snapdragon 7s,Snapdragon 7s,12GB,64GB,N/A
Mobile Phone,OnePlus,Product nor law poor name operation ok growth article maintain.,130629,28-10-2023,12-11-2023,6,Jonathan Hill,West Ericbury,South,MediaTek Helio,MediaTek Helio,32GB,256GB,N/A
Mobile Phone,Microsoft,Upon next economy protect church stage arrive close security ready town.,25237,11-10-2023,07-12-2023,7,Katherine Miller,Lake Phillipborough,East,Snapdragon 8 Gen,Snapdragon 8 Gen,6GB,256GB,N/A
Mobile Phone,Motorola,Make business consider ability full return home moment.,68715,25-04-2024,03-05-2024,5,Dustin Wilkins,Gouldville,West,Snapdragon 8 Gen,Snapdragon 8 Gen,32GB,1TB,N/A
Mobile Phone,Realme,Word its activity them move power she leg section identify citizen.,68955,23-03-2024,14-04-2024,3,Lonnie Rodriguez MD,Micheleshire,West,Apple A-Series,Apple A-Series,6GB,256GB,N/A
Laptop,Microsoft,Else financial more direction art who soon main travel upon.,135581,20-01-2025,06-02-2025,1,Taylor Abbott,Martinberg,North,Ryzen 3,Ryzen 3,4GB,128GB,256GB
Laptop,iQOO,Director standard forward method them lose past character condition.,7015,14-12-2023,04-02-2024,8,Kathleen Massey,New Kristieport,South,Ryzen 9,Ryzen 9,32GB,1TB,512GB
Laptop,Motorola,Article write bed field tree admit machine positive will enough.,162166,13-01-2024,14-02-2024,3,Janet Collins,North Ericfurt,West,Ryzen 7,Ryzen 7,32GB,128GB,2TB
Mobile Phone,Samsung,Out past sea while yourself use foot vote begin difficult.,69590,26-04-2023,14-06-2023,7,Lauren Roberts,Davidtown,West,MediaTek Dimensity,MediaTek Dimensity,6GB,256GB,N/A
Laptop,Nokia,Position imagine sell else whose production.,118101,27-04-2023,23-06-2023,4,Sherry Martinez,Deckerton,West,i3,i3,4GB,128GB,2TB
Laptop,Realme,Politics eight compare coach mean agree.,150686,09-08-2023,18-08-2023,10,Andre Carroll,Matthewberg,North,i3,i3,32GB,256GB,1TB
Laptop,Vivo,Happy at tax another speech physical could against.,128606,29-11-2023,17-12-2023,10,Theresa Todd,Jamesfort,East,Ryzen 7,Ryzen 7,8GB,1TB,256GB
Laptop,Asus,List under turn section western trade oil.,71067,29-11-2024,05-12-2024,3,Katherine Crawford,New Jenniferview,West,Ryzen 3,Ryzen 3,12GB,64GB,1TB
Mobile Phone,Motorola,Stand scene because wonder outside than dream base organization successful state.,154664,30-11-2024,05-12-2024,5,David Brewer,Lake Kellymouth,South,Snapdragon 8 Gen,Snapdragon 8 Gen,6GB,512GB,N/A
Laptop,Apple,Company company past help process along.,90665,06-03-2025,09-03-2025,9,Michelle Hardy,Davidberg,North,Ryzen 3,Ryzen 3,32GB,512GB,256GB
Mobile Phone,OnePlus,Movement page build trade cost article through never they along compare loss.,47125,23-09-2024,19-10-2024,9,Megan Beasley,Port Beverly,East,Snapdragon 7 Gen,Snapdragon 7 Gen,6GB,128GB,N/A
Laptop,Acer,Need example raise large boy would figure per thank.,146114,26-12-2023,23-02-2024,4,Chelsea Horn,Aguilarshire,North,Ryzen 9,Ryzen 9,8GB,128GB,256GB
Laptop,Lenovo,Radio wear air say star choice goal.,197075,26-09-2023,08-11-2023,8,Diane Palmer,Bellmouth,Central,i3,i3,16GB,512GB,2TB
Mobile Phone,Motorola,Than up item want run own sometimes speak high mean anything.,144987,12-07-2023,30-08-2023,8,Stephanie Stone,East Mirandaside,East,Snapdragon 7s,Snapdragon 7s,4GB,64GB,N/A
Mobile Phone,Motorola,Coach assume fund approach visit building strong.,41820,03-11-2023,27-11-2023,1,Samantha Turner,West Ronaldburgh,East,Snapdragon 8 Gen,Snapdragon 8 Gen,4GB,256GB,N/A
Mobile Phone,Sony,Building response capital account recognize cold actually.,56078,05-08-2024,19-09-2024,3,Brian Thomas,Walkerland,Central,Snapdragon 7s,Snapdragon 7s,32GB,512GB,N/A
Laptop,Realme,Adult shoulder least leave fill join almost eye bag particularly million wife how.,100321,02-02-2025,26-02-2025,1,Michael Sullivan,Williamsstad,East,Ryzen 3,Ryzen 3,6GB,512GB,2TB
Laptop,OnePlus,Represent far argue position thank natural whether south throw.,13588,09-10-2024,23-11-2024,7,Harold Nolan,Timothyburgh,West,i5,i5,16GB,64GB,256GB
Laptop,OnePlus,Meet identify authority whose tax school east easy by election camera produce.,136309,17-02-2024,26-02-2024,1,Kyle Barron,Alexandriashire,East,i7,i7,16GB,256GB,512GB
Mobile Phone,Toshiba,Hospital spend new share have protect hot adult economy job board theory quickly.,93961,20-02-2025,21-03-2025,2,Betty Snyder,Port Stephaniehaven,South,MediaTek Dimensity,MediaTek Dimensity,32GB,128GB,N/A
Mobile Phone,HP,Plan about sit bill range Democrat.,56964,01-08-2024,14-08-2024,6,Amanda Alvarez,South Kelly,South,Snapdragon 7 Gen,Snapdragon 7 Gen,8GB,1TB,N/A
Laptop,iQOO,Agree writer run interview professional yet quality hospital send exist.,191149,19-10-2023,31-10-2023,4,Bianca Perez,Poolemouth,Central,Ryzen 7,Ryzen 7,8GB,128GB,256GB
Laptop,Google,Record avoid second begin move to gun form assume least national move.,107654,08-06-2023,11-06-2023,7,Miranda Cook,Knappberg,Central,Ryzen 5,Ryzen 5,4GB,256GB,1TB
Laptop,Apple,Prevent television land information analysis south movie audience over.,15497,25-08-2023,07-09-2023,7,David Bradley,Rebeccatown,East,Ryzen 7,Ryzen 7,12GB,512GB,2TB
Laptop,OnePlus,Long anything art issue happy represent personal physical be.,60100,01-04-2024,11-05-2024,4,Elizabeth Jackson,East Kevinstad,North,i7,i7,12GB,1TB,1TB
